"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"Decrease","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","20","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"Decrease","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","35.71","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"Dont_know","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","1","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"Dont_know","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","1.79","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"No_change","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","35","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"No_change","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","62.5","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"Decrease","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","1","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"Decrease","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","1.27","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"Dont_know","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","13","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"Dont_know","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","16.46","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"No_change","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","65","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"No_change","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","82.28","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"Decrease","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","4","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"Decrease","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","6.78","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"No_change","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","55","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"No_change","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","93.22","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"Dont_know","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","counts","8","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"Dont_know","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","percentage","6.78","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"no","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","counts","12","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"no","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","percentage","10.17","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"yes","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","counts","98","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"yes","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","percentage","83.05","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"no","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","counts","5","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"no","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","percentage","5.1","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"yes","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","counts","93","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"yes","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","percentage","94.9","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"no","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","counts","1","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"no","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","percentage","1.79","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"yes","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","counts","55","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"yes","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","percentage","98.21","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"Dont_know","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","counts","2","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"Dont_know","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","percentage","2.53","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"no","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","counts","2","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"no","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","percentage","2.53","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"yes","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","counts","75","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"yes","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","percentage","94.94","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"no","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","counts","1","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"no","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","percentage","1.69","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"yes","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","counts","58","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"yes","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","percentage","98.31","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_will_have_more_profit_and_capital_to_allow_more_flexibility_to_restock","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","9","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_will_have_more_profit_and_capital_to_allow_more_flexibility_to_restock","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","9.18","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_extra_employees_to_cope_with_this_extra_demand","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","5","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_extra_employees_to_cope_with_this_extra_demand","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","5.1","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_to_find_new_suppliers","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","5","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_to_find_new_suppliers","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","5.1","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"the_prices_would_likely_increase","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","1","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"the_prices_would_likely_increase","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","1.02","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"using_the_same_suppliers_I_currently_work_with","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","95","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"using_the_same_suppliers_I_currently_work_with","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","96.94","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_will_have_more_profit_and_capital_to_allow_more_flexibility_to_restock","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","44","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_will_have_more_profit_and_capital_to_allow_more_flexibility_to_restock","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","47.31","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_extra_employees_to_cope_with_this_extra_demand","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","47","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_extra_employees_to_cope_with_this_extra_demand","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","50.54","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_to_find_new_suppliers","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","15","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_to_find_new_suppliers","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","16.13","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"using_the_same_suppliers_I_currently_work_with","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","43","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"using_the_same_suppliers_I_currently_work_with","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","46.24","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_will_have_more_profit_and_capital_to_allow_more_flexibility_to_restock","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","4","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_will_have_more_profit_and_capital_to_allow_more_flexibility_to_restock","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","7.27","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_extra_employees_to_cope_with_this_extra_demand","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","9","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_extra_employees_to_cope_with_this_extra_demand","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","16.36","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_to_find_new_suppliers","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","9","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_to_find_new_suppliers","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","16.36","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"using_the_same_suppliers_I_currently_work_with","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","49","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"using_the_same_suppliers_I_currently_work_with","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","89.09","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_will_have_more_profit_and_capital_to_allow_more_flexibility_to_restock","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","47","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_will_have_more_profit_and_capital_to_allow_more_flexibility_to_restock","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","62.67","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_extra_employees_to_cope_with_this_extra_demand","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","40","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_extra_employees_to_cope_with_this_extra_demand","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","53.33","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_to_find_new_suppliers","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","47","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_to_find_new_suppliers","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","62.67","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"the_prices_would_likely_increase","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","2","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"the_prices_would_likely_increase","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","2.67","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"using_the_same_suppliers_I_currently_work_with","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","31","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"using_the_same_suppliers_I_currently_work_with","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","41.33","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_will_have_more_profit_and_capital_to_allow_more_flexibility_to_restock","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","24","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_will_have_more_profit_and_capital_to_allow_more_flexibility_to_restock","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","41.38","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_extra_employees_to_cope_with_this_extra_demand","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","27","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_extra_employees_to_cope_with_this_extra_demand","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","46.55","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_to_find_new_suppliers","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","23","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_to_find_new_suppliers","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","39.66","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"using_the_same_suppliers_I_currently_work_with","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","34","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"using_the_same_suppliers_I_currently_work_with","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","58.62","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"depleting_stocks_will_cause_my_regular_supply_timetable_will_be_disrupted","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","counts","1","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"depleting_stocks_will_cause_my_regular_supply_timetable_will_be_disrupted","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","percentage","8.33","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_cannot_afford_to_employ_extra_employees_to_cope_with_this_increase_in_demand","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","counts","8","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_cannot_afford_to_employ_extra_employees_to_cope_with_this_increase_in_demand","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","percentage","66.67","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_find_it_difficult_to_keep_my_products_in_stock","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","counts","8","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_find_it_difficult_to_keep_my_products_in_stock","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","percentage","66.67","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"the_shop_has_no_space_for_extra_customers","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","counts","7","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"the_shop_has_no_space_for_extra_customers","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","percentage","58.33","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_cannot_afford_to_employ_extra_employees_to_cope_with_this_increase_in_demand","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","counts","4","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_cannot_afford_to_employ_extra_employees_to_cope_with_this_increase_in_demand","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","percentage","80","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"the_shop_has_no_space_for_extra_customers","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","counts","1","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"the_shop_has_no_space_for_extra_customers","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","percentage","20","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_cannot_afford_to_employ_extra_employees_to_cope_with_this_increase_in_demand","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","counts","1","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_cannot_afford_to_employ_extra_employees_to_cope_with_this_increase_in_demand","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","percentage","100","Increased Customer Base Impact on Market","C4121","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_cannot_afford_to_employ_extra_employees_to_cope_with_this_increase_in_demand","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","counts","1","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_cannot_afford_to_employ_extra_employees_to_cope_with_this_increase_in_demand","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","percentage","50","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_find_it_difficult_to_keep_my_products_in_stock","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","counts","2","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_find_it_difficult_to_keep_my_products_in_stock","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","percentage","100","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"the_shop_has_no_space_for_extra_customers","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","counts","1","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"the_shop_has_no_space_for_extra_customers","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","percentage","50","Increased Customer Base Impact on Market","C4126","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_cannot_afford_to_employ_extra_employees_to_cope_with_this_increase_in_demand","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","counts","1","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_cannot_afford_to_employ_extra_employees_to_cope_with_this_increase_in_demand","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","percentage","100","Increased Customer Base Impact on Market","C4140","Additional RQ requested-not reflected on the TOR","count and percentage"
"Decrease","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","42","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"Decrease","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","10.24","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"Dont_know","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","14","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"Dont_know","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","3.41","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"Increase","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","1","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"Increase","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","0.24","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
