"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"no","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","counts","86","Quality checks","C3947","RQ3 select No","count and percentage"
"no","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","percentage","87.76","Quality checks","C3947","RQ3 select No","count and percentage"
"yes","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","counts","12","Quality checks","C3947","RQ3 select No","count and percentage"
"yes","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","percentage","12.24","Quality checks","C3947","RQ3 select No","count and percentage"
"no","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","counts","56","Quality checks","C4121","RQ3 select No","count and percentage"
"no","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","percentage","100","Quality checks","C4121","RQ3 select No","count and percentage"
"no","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","counts","79","Quality checks","C4126","RQ3 select No","count and percentage"
"no","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","percentage","100","Quality checks","C4126","RQ3 select No","count and percentage"
"no","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","counts","59","Quality checks","C4140","RQ3 select No","count and percentage"
"no","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","percentage","100","Quality checks","C4140","RQ3 select No","count and percentage"
"no","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","counts","112","Quality checks","C3871","RQ3 select No","count and percentage"
"no","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","percentage","94.92","Quality checks","C3871","RQ3 select No","count and percentage"
"yes","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","counts","6","Quality checks","C3871","RQ3 select No","count and percentage"
"yes","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","percentage","5.08","Quality checks","C3871","RQ3 select No","count and percentage"
"no","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","counts","86","Quality checks","C3947","RQ3 select No","count and percentage"
"no","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","percentage","87.76","Quality checks","C3947","RQ3 select No","count and percentage"
"yes","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","counts","12","Quality checks","C3947","RQ3 select No","count and percentage"
"yes","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","percentage","12.24","Quality checks","C3947","RQ3 select No","count and percentage"
"no","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","counts","56","Quality checks","C4121","RQ3 select No","count and percentage"
"no","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","percentage","100","Quality checks","C4121","RQ3 select No","count and percentage"
"no","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","counts","79","Quality checks","C4126","RQ3 select No","count and percentage"
"no","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","percentage","100","Quality checks","C4126","RQ3 select No","count and percentage"
"no","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","counts","55","Quality checks","C4140","RQ3 select No","count and percentage"
"no","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","percentage","93.22","Quality checks","C4140","RQ3 select No","count and percentage"
"yes","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","counts","4","Quality checks","C4140","RQ3 select No","count and percentage"
"yes","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","percentage","6.78","Quality checks","C4140","RQ3 select No","count and percentage"
"no","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","counts","114","Quality checks","C3871","RQ3 select No","count and percentage"
"no","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","percentage","96.61","Quality checks","C3871","RQ3 select No","count and percentage"
"yes","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","counts","4","Quality checks","C3871","RQ3 select No","count and percentage"
"yes","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","percentage","3.39","Quality checks","C3871","RQ3 select No","count and percentage"
"no","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","counts","93","Quality checks","C3947","RQ3 select No","count and percentage"
"no","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","percentage","94.9","Quality checks","C3947","RQ3 select No","count and percentage"
"yes","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","counts","5","Quality checks","C3947","RQ3 select No","count and percentage"
"yes","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","percentage","5.1","Quality checks","C3947","RQ3 select No","count and percentage"
"no","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","counts","56","Quality checks","C4121","RQ3 select No","count and percentage"
"no","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","percentage","100","Quality checks","C4121","RQ3 select No","count and percentage"
"no","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","counts","79","Quality checks","C4126","RQ3 select No","count and percentage"
"no","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","percentage","100","Quality checks","C4126","RQ3 select No","count and percentage"
"no","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","counts","57","Quality checks","C4140","RQ3 select No","count and percentage"
"no","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","percentage","96.61","Quality checks","C4140","RQ3 select No","count and percentage"
"yes","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","counts","2","Quality checks","C4140","RQ3 select No","count and percentage"
"yes","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","percentage","3.39","Quality checks","C4140","RQ3 select No","count and percentage"
"no","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","counts","20","Quality checks","C3871","RQ3 select No","count and percentage"
"no","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","percentage","58.82","Quality checks","C3871","RQ3 select No","count and percentage"
"yes","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","counts","14","Quality checks","C3871","RQ3 select No","count and percentage"
"yes","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","percentage","41.18","Quality checks","C3871","RQ3 select No","count and percentage"
"no","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","counts","15","Quality checks","C3947","RQ3 select No","count and percentage"
"no","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","percentage","65.22","Quality checks","C3947","RQ3 select No","count and percentage"
"yes","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","counts","8","Quality checks","C3947","RQ3 select No","count and percentage"
"yes","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","percentage","34.78","Quality checks","C3947","RQ3 select No","count and percentage"
"no","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","counts","17","Quality checks","C4121","RQ3 select No","count and percentage"
"no","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","percentage","94.44","Quality checks","C4121","RQ3 select No","count and percentage"
"yes","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","counts","1","Quality checks","C4121","RQ3 select No","count and percentage"
"yes","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","percentage","5.56","Quality checks","C4121","RQ3 select No","count and percentage"
"no","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","counts","25","Quality checks","C4126","RQ3 select No","count and percentage"
"no","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","percentage","89.29","Quality checks","C4126","RQ3 select No","count and percentage"
"yes","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","counts","3","Quality checks","C4126","RQ3 select No","count and percentage"
"yes","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","percentage","10.71","Quality checks","C4126","RQ3 select No","count and percentage"
"no","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","counts","15","Quality checks","C4140","RQ3 select No","count and percentage"
"no","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","percentage","78.95","Quality checks","C4140","RQ3 select No","count and percentage"
"yes","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","counts","4","Quality checks","C4140","RQ3 select No","count and percentage"
"yes","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","percentage","21.05","Quality checks","C4140","RQ3 select No","count and percentage"
"no","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","counts","399","Quality checks","Overall","RQ3 select No","count and percentage"
"no","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","percentage","97.32","Quality checks","Overall","RQ3 select No","count and percentage"
"yes","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","counts","11","Quality checks","Overall","RQ3 select No","count and percentage"
"yes","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","percentage","2.68","Quality checks","Overall","RQ3 select No","count and percentage"
"no","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","counts","395","Quality checks","Overall","RQ3 select No","count and percentage"
"no","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","percentage","96.34","Quality checks","Overall","RQ3 select No","count and percentage"
"yes","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","counts","15","Quality checks","Overall","RQ3 select No","count and percentage"
"yes","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","percentage","3.66","Quality checks","Overall","RQ3 select No","count and percentage"
"no","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","counts","388","Quality checks","Overall","RQ3 select No","count and percentage"
"no","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","percentage","94.63","Quality checks","Overall","RQ3 select No","count and percentage"
"yes","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","counts","22","Quality checks","Overall","RQ3 select No","count and percentage"
"yes","Q11_5_Is_there_any_sign_of_impurities_in_the_monitored_items","percentage","5.37","Quality checks","Overall","RQ3 select No","count and percentage"
"no","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","counts","399","Quality checks","Overall","RQ3 select No","count and percentage"
"no","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","percentage","97.32","Quality checks","Overall","RQ3 select No","count and percentage"
"yes","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","counts","11","Quality checks","Overall","RQ3 select No","count and percentage"
"yes","Q11_6_Is_there_any_sign_of_rotten_smell_in_the_monitored_items","percentage","2.68","Quality checks","Overall","RQ3 select No","count and percentage"
"no","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","counts","92","Quality checks","Overall","RQ3 select No","count and percentage"
"no","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","percentage","75.41","Quality checks","Overall","RQ3 select No","count and percentage"
"yes","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","counts","30","Quality checks","Overall","RQ3 select No","count and percentage"
"yes","Q11_7_Do_any_of_the_fresh_food_items_display_signs_of_wilting","percentage","24.59","Quality checks","Overall","RQ3 select No","count and percentage"
