"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"a1_week","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","31","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"a1_week","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","55.36","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"Between_1_and_2_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","20","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"Between_1_and_2_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","35.71","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"Between_2_and_3_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","3","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"Between_2_and_3_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","5.36","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"Between_3_and_4_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","2","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"Between_3_and_4_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","3.57","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"a1_week","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","29","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"a1_week","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","36.71","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"Between_1_and_2_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","45","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"Between_1_and_2_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","56.96","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"Between_2_and_3_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","3","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"Between_2_and_3_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","3.8","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"Between_3_and_4_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","2","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"Between_3_and_4_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","2.53","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"a1_week","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","35","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"a1_week","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","59.32","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"Between_1_and_2_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","20","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"Between_1_and_2_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","33.9","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"Between_2_and_3_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","3","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"Between_2_and_3_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","5.08","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"Between_3_and_4_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","1","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"Between_3_and_4_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","1.69","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"Contamination_of_products_by_rodents_pests_insects_mold_etc","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","1","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"Contamination_of_products_by_rodents_pests_insects_mold_etc","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","0.85","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"Frequently_interrupted_electricity","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","2","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"Frequently_interrupted_electricity","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","1.69","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"Increasing_rent_prices","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","5","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"Increasing_rent_prices","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","4.24","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"Limited_storage_space","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","41","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"Limited_storage_space","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","34.75","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"None","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","75","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"None","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","63.56","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"Heat_wave","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","1","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"Heat_wave","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","1.02","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"Increasing_rent_prices","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","14","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"Increasing_rent_prices","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","14.29","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"None","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","81","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"None","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","82.65","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"Theft","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","4","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"Theft","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","4.08","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"Frequently_interrupted_electricity","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","1","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"Frequently_interrupted_electricity","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","1.79","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"Heat_wave","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","4","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"Heat_wave","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","7.14","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"Increasing_rent_prices","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","1","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"Increasing_rent_prices","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","1.79","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"Limited_storage_space","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","1","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"Limited_storage_space","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","1.79","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"None","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","52","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"None","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","92.86","Supply chain conditions and barriers","C4121","RQ4","count and percentage"
"Heat_wave","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","43","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"Heat_wave","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","54.43","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"Increasing_rent_prices","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","42","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"Increasing_rent_prices","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","53.16","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"Lack_of_refrigerators","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","41","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"Lack_of_refrigerators","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","51.9","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"Limited_storage_space","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","24","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"Limited_storage_space","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","30.38","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"None","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","29","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"None","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","36.71","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"Theft","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","1","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"Theft","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","1.27","Supply chain conditions and barriers","C4126","RQ4","count and percentage"
"Heat_wave","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","6","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"Heat_wave","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","10.17","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"Increasing_rent_prices","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","7","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"Increasing_rent_prices","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","11.86","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"Lack_of_refrigerators","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","1","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"Lack_of_refrigerators","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","1.69","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"Limited_storage_space","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","2","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"Limited_storage_space","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","3.39","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"None","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","46","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"None","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","77.97","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"Theft","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","counts","1","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"Theft","Q8_10_Did_you_face_any_issues_keeping_stocks_in_the_past_6_months","percentage","1.69","Supply chain conditions and barriers","C4140","RQ4","count and percentage"
"yes","Q2_4_Does_this_market_have_at_least_2_wholesalers","counts","118","Market selection","C3871","RQ4","count and percentage"
"yes","Q2_4_Does_this_market_have_at_least_2_wholesalers","percentage","100","Market selection","C3871","RQ4","count and percentage"
"yes","Q2_4_Does_this_market_have_at_least_2_wholesalers","counts","98","Market selection","C3947","RQ4","count and percentage"
"yes","Q2_4_Does_this_market_have_at_least_2_wholesalers","percentage","100","Market selection","C3947","RQ4","count and percentage"
"yes","Q2_4_Does_this_market_have_at_least_2_wholesalers","counts","56","Market selection","C4121","RQ4","count and percentage"
"yes","Q2_4_Does_this_market_have_at_least_2_wholesalers","percentage","100","Market selection","C4121","RQ4","count and percentage"
"yes","Q2_4_Does_this_market_have_at_least_2_wholesalers","counts","79","Market selection","C4126","RQ4","count and percentage"
"yes","Q2_4_Does_this_market_have_at_least_2_wholesalers","percentage","100","Market selection","C4126","RQ4","count and percentage"
"yes","Q2_4_Does_this_market_have_at_least_2_wholesalers","counts","59","Market selection","C4140","RQ4","count and percentage"
"yes","Q2_4_Does_this_market_have_at_least_2_wholesalers","percentage","100","Market selection","C4140","RQ4","count and percentage"
"yes","Q2_6_Is_this_a_permanent_shop","counts","118","Shop selection","C3871","RQ4","count and percentage"
"yes","Q2_6_Is_this_a_permanent_shop","percentage","100","Shop selection","C3871","RQ4","count and percentage"
"yes","Q2_6_Is_this_a_permanent_shop","counts","98","Shop selection","C3947","RQ4","count and percentage"
"yes","Q2_6_Is_this_a_permanent_shop","percentage","100","Shop selection","C3947","RQ4","count and percentage"
"yes","Q2_6_Is_this_a_permanent_shop","counts","56","Shop selection","C4121","RQ4","count and percentage"
"yes","Q2_6_Is_this_a_permanent_shop","percentage","100","Shop selection","C4121","RQ4","count and percentage"
"yes","Q2_6_Is_this_a_permanent_shop","counts","79","Shop selection","C4126","RQ4","count and percentage"
"yes","Q2_6_Is_this_a_permanent_shop","percentage","100","Shop selection","C4126","RQ4","count and percentage"
"yes","Q2_6_Is_this_a_permanent_shop","counts","59","Shop selection","C4140","RQ4","count and percentage"
"yes","Q2_6_Is_this_a_permanent_shop","percentage","100","Shop selection","C4140","RQ4","count and percentage"
"yes","Q2_12_Do_you_have_a_store_place_to_stock_your_goods","counts","118","Shop selection","C3871","RQ4","count and percentage"
"yes","Q2_12_Do_you_have_a_store_place_to_stock_your_goods","percentage","100","Shop selection","C3871","RQ4","count and percentage"
"yes","Q2_12_Do_you_have_a_store_place_to_stock_your_goods","counts","98","Shop selection","C3947","RQ4","count and percentage"
"yes","Q2_12_Do_you_have_a_store_place_to_stock_your_goods","percentage","100","Shop selection","C3947","RQ4","count and percentage"
"yes","Q2_12_Do_you_have_a_store_place_to_stock_your_goods","counts","56","Shop selection","C4121","RQ4","count and percentage"
"yes","Q2_12_Do_you_have_a_store_place_to_stock_your_goods","percentage","100","Shop selection","C4121","RQ4","count and percentage"
"yes","Q2_12_Do_you_have_a_store_place_to_stock_your_goods","counts","79","Shop selection","C4126","RQ4","count and percentage"
"yes","Q2_12_Do_you_have_a_store_place_to_stock_your_goods","percentage","100","Shop selection","C4126","RQ4","count and percentage"
"yes","Q2_12_Do_you_have_a_store_place_to_stock_your_goods","counts","59","Shop selection","C4140","RQ4","count and percentage"
"yes","Q2_12_Do_you_have_a_store_place_to_stock_your_goods","percentage","100","Shop selection","C4140","RQ4","count and percentage"
"Daily","Q5_11_How_often_do_you_change_your_prices","counts","10","Shop selection","C3871","RQ4","count and percentage"
"Daily","Q5_11_How_often_do_you_change_your_prices","percentage","8.47","Shop selection","C3871","RQ4","count and percentage"
"More_than_once_in_a_week","Q5_11_How_often_do_you_change_your_prices","counts","39","Shop selection","C3871","RQ4","count and percentage"
"More_than_once_in_a_week","Q5_11_How_often_do_you_change_your_prices","percentage","33.05","Shop selection","C3871","RQ4","count and percentage"
"Once_every_2_weeks","Q5_11_How_often_do_you_change_your_prices","counts","18","Shop selection","C3871","RQ4","count and percentage"
"Once_every_2_weeks","Q5_11_How_often_do_you_change_your_prices","percentage","15.25","Shop selection","C3871","RQ4","count and percentage"
"Once_per_month","Q5_11_How_often_do_you_change_your_prices","counts","2","Shop selection","C3871","RQ4","count and percentage"
"Once_per_month","Q5_11_How_often_do_you_change_your_prices","percentage","1.69","Shop selection","C3871","RQ4","count and percentage"
"Once_per_week","Q5_11_How_often_do_you_change_your_prices","counts","49","Shop selection","C3871","RQ4","count and percentage"
"Once_per_week","Q5_11_How_often_do_you_change_your_prices","percentage","41.53","Shop selection","C3871","RQ4","count and percentage"
"Daily","Q5_11_How_often_do_you_change_your_prices","counts","55","Shop selection","C3947","RQ4","count and percentage"
"Daily","Q5_11_How_often_do_you_change_your_prices","percentage","56.12","Shop selection","C3947","RQ4","count and percentage"
"More_than_once_in_a_week","Q5_11_How_often_do_you_change_your_prices","counts","7","Shop selection","C3947","RQ4","count and percentage"
"More_than_once_in_a_week","Q5_11_How_often_do_you_change_your_prices","percentage","7.14","Shop selection","C3947","RQ4","count and percentage"
"Once_per_week","Q5_11_How_often_do_you_change_your_prices","counts","36","Shop selection","C3947","RQ4","count and percentage"
"Once_per_week","Q5_11_How_often_do_you_change_your_prices","percentage","36.73","Shop selection","C3947","RQ4","count and percentage"
"Daily","Q5_11_How_often_do_you_change_your_prices","counts","21","Shop selection","C4121","RQ4","count and percentage"
"Daily","Q5_11_How_often_do_you_change_your_prices","percentage","37.5","Shop selection","C4121","RQ4","count and percentage"
"More_than_once_in_a_week","Q5_11_How_often_do_you_change_your_prices","counts","20","Shop selection","C4121","RQ4","count and percentage"
"More_than_once_in_a_week","Q5_11_How_often_do_you_change_your_prices","percentage","35.71","Shop selection","C4121","RQ4","count and percentage"
"Once_every_2_weeks","Q5_11_How_often_do_you_change_your_prices","counts","9","Shop selection","C4121","RQ4","count and percentage"
"Once_every_2_weeks","Q5_11_How_often_do_you_change_your_prices","percentage","16.07","Shop selection","C4121","RQ4","count and percentage"
"Once_per_week","Q5_11_How_often_do_you_change_your_prices","counts","6","Shop selection","C4121","RQ4","count and percentage"
"Once_per_week","Q5_11_How_often_do_you_change_your_prices","percentage","10.71","Shop selection","C4121","RQ4","count and percentage"
"Daily","Q5_11_How_often_do_you_change_your_prices","counts","25","Shop selection","C4126","RQ4","count and percentage"
"Daily","Q5_11_How_often_do_you_change_your_prices","percentage","31.65","Shop selection","C4126","RQ4","count and percentage"
"More_than_once_in_a_week","Q5_11_How_often_do_you_change_your_prices","counts","16","Shop selection","C4126","RQ4","count and percentage"
"More_than_once_in_a_week","Q5_11_How_often_do_you_change_your_prices","percentage","20.25","Shop selection","C4126","RQ4","count and percentage"
"Once_every_2_weeks","Q5_11_How_often_do_you_change_your_prices","counts","14","Shop selection","C4126","RQ4","count and percentage"
"Once_every_2_weeks","Q5_11_How_often_do_you_change_your_prices","percentage","17.72","Shop selection","C4126","RQ4","count and percentage"
"Once_per_month","Q5_11_How_often_do_you_change_your_prices","counts","19","Shop selection","C4126","RQ4","count and percentage"
"Once_per_month","Q5_11_How_often_do_you_change_your_prices","percentage","24.05","Shop selection","C4126","RQ4","count and percentage"
"Once_per_week","Q5_11_How_often_do_you_change_your_prices","counts","5","Shop selection","C4126","RQ4","count and percentage"
"Once_per_week","Q5_11_How_often_do_you_change_your_prices","percentage","6.33","Shop selection","C4126","RQ4","count and percentage"
"Daily","Q5_11_How_often_do_you_change_your_prices","counts","33","Shop selection","C4140","RQ4","count and percentage"
"Daily","Q5_11_How_often_do_you_change_your_prices","percentage","55.93","Shop selection","C4140","RQ4","count and percentage"
"More_than_once_in_a_week","Q5_11_How_often_do_you_change_your_prices","counts","13","Shop selection","C4140","RQ4","count and percentage"
"More_than_once_in_a_week","Q5_11_How_often_do_you_change_your_prices","percentage","22.03","Shop selection","C4140","RQ4","count and percentage"
"Once_every_2_weeks","Q5_11_How_often_do_you_change_your_prices","counts","2","Shop selection","C4140","RQ4","count and percentage"
"Once_every_2_weeks","Q5_11_How_often_do_you_change_your_prices","percentage","3.39","Shop selection","C4140","RQ4","count and percentage"
"Once_per_month","Q5_11_How_often_do_you_change_your_prices","counts","1","Shop selection","C4140","RQ4","count and percentage"
"Once_per_month","Q5_11_How_often_do_you_change_your_prices","percentage","1.69","Shop selection","C4140","RQ4","count and percentage"
"Once_per_week","Q5_11_How_often_do_you_change_your_prices","counts","10","Shop selection","C4140","RQ4","count and percentage"
"Once_per_week","Q5_11_How_often_do_you_change_your_prices","percentage","16.95","Shop selection","C4140","RQ4","count and percentage"
"Price_inflation","Q5_11_3_Why_are_you_changing_the_prices","counts","105","Shop selection","C3871","RQ4","count and percentage"
"Price_inflation","Q5_11_3_Why_are_you_changing_the_prices","percentage","88.98","Shop selection","C3871","RQ4","count and percentage"
"Prices_are_set_by_the_suppliers","Q5_11_3_Why_are_you_changing_the_prices","counts","71","Shop selection","C3871","RQ4","count and percentage"
"Prices_are_set_by_the_suppliers","Q5_11_3_Why_are_you_changing_the_prices","percentage","60.17","Shop selection","C3871","RQ4","count and percentage"
"Shifts_in_market_demand","Q5_11_3_Why_are_you_changing_the_prices","counts","9","Shop selection","C3871","RQ4","count and percentage"
"Shifts_in_market_demand","Q5_11_3_Why_are_you_changing_the_prices","percentage","7.63","Shop selection","C3871","RQ4","count and percentage"
"Shifts_in_market_supply","Q5_11_3_Why_are_you_changing_the_prices","counts","10","Shop selection","C3871","RQ4","count and percentage"
"Shifts_in_market_supply","Q5_11_3_Why_are_you_changing_the_prices","percentage","8.47","Shop selection","C3871","RQ4","count and percentage"
"Price_inflation","Q5_11_3_Why_are_you_changing_the_prices","counts","88","Shop selection","C3947","RQ4","count and percentage"
"Price_inflation","Q5_11_3_Why_are_you_changing_the_prices","percentage","89.8","Shop selection","C3947","RQ4","count and percentage"
"Prices_are_set_by_the_suppliers","Q5_11_3_Why_are_you_changing_the_prices","counts","13","Shop selection","C3947","RQ4","count and percentage"
"Prices_are_set_by_the_suppliers","Q5_11_3_Why_are_you_changing_the_prices","percentage","13.27","Shop selection","C3947","RQ4","count and percentage"
"Shifts_in_market_demand","Q5_11_3_Why_are_you_changing_the_prices","counts","5","Shop selection","C3947","RQ4","count and percentage"
"Shifts_in_market_demand","Q5_11_3_Why_are_you_changing_the_prices","percentage","5.1","Shop selection","C3947","RQ4","count and percentage"
"Shifts_in_market_supply","Q5_11_3_Why_are_you_changing_the_prices","counts","22","Shop selection","C3947","RQ4","count and percentage"
"Shifts_in_market_supply","Q5_11_3_Why_are_you_changing_the_prices","percentage","22.45","Shop selection","C3947","RQ4","count and percentage"
"Price_inflation","Q5_11_3_Why_are_you_changing_the_prices","counts","45","Shop selection","C4121","RQ4","count and percentage"
"Price_inflation","Q5_11_3_Why_are_you_changing_the_prices","percentage","80.36","Shop selection","C4121","RQ4","count and percentage"
"Prices_are_set_by_the_suppliers","Q5_11_3_Why_are_you_changing_the_prices","counts","15","Shop selection","C4121","RQ4","count and percentage"
"Prices_are_set_by_the_suppliers","Q5_11_3_Why_are_you_changing_the_prices","percentage","26.79","Shop selection","C4121","RQ4","count and percentage"
"Shifts_in_market_demand","Q5_11_3_Why_are_you_changing_the_prices","counts","20","Shop selection","C4121","RQ4","count and percentage"
"Shifts_in_market_demand","Q5_11_3_Why_are_you_changing_the_prices","percentage","35.71","Shop selection","C4121","RQ4","count and percentage"
"Shifts_in_market_supply","Q5_11_3_Why_are_you_changing_the_prices","counts","19","Shop selection","C4121","RQ4","count and percentage"
"Shifts_in_market_supply","Q5_11_3_Why_are_you_changing_the_prices","percentage","33.93","Shop selection","C4121","RQ4","count and percentage"
"Price_inflation","Q5_11_3_Why_are_you_changing_the_prices","counts","62","Shop selection","C4126","RQ4","count and percentage"
